strategy,question_id,question,router_reason_code,route,pipeline_config,refused,retrieved_chunk_ids,hit_at_5,reciprocal_rank,ndcg_at_5,latency_ms,cost_status,cost_amount_usd,input_tokens,output_tokens,total_tokens,token_source,pricing_source,price_table_id
always_careful,sqa-e27ab4d10e8d4e5f,"In the Go client initialization, what host and port are configured?",,CAREFUL,hybrid_rrf_cross_encoder,False,"[""c84dd39b-5f58-5707-a526-97c5e6f7e978"",""535f0d59-bf72-544b-b3f4-13ead96fa740"",""fc659af8-0bac-5182-8be1-2ca7892ccbd5"",""3493af72-a145-542f-9ef1-3270c4e20878"",""db5f44fb-2e4b-5cd8-a4c6-b39fe4c9df80""]",0.0,0.0,0.0,7826.69616502244,estimated,6.720000000000001e-05,1288,7,1295,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-e27ab4d10e8d4e5f,"In the Go client initialization, what host and port are configured?",standard_fallback,STANDARD,dense_baseline,False,"[""e7dded3e-c071-50b1-b3d9-ef34c8c3af9d"",""757f5ceb-4f2c-5fdf-b3a6-c352241766b2"",""f4019142-991e-5d1d-9ec6-f14f7346673a"",""85fe5bba-3a23-54ab-8b22-8c547f3dde71"",""2d453ba8-e855-51ab-9ce3-f26a6ce69944"",""8ed49aa0-4b8d-51f3-ac14-fbe57e67fa54"",""d0311a50-751b-55e0-98fd-9f8a205aea03"",""f01bb5bb-0518-5415-a630-6fa06fe896d4"",""82592107-24c0-5227-941b-122c09eec225"",""139545dc-0181-5dd9-9af9-8b22fa0dc7cc""]",0.0,0.0,0.0,199.53838200308383,estimated,2.0200000000000003e-05,348,7,355,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-54a24f6e54a73e24,What HTTP endpoint is shown for scrolling points in a collection?,,FAST,dense_baseline,False,"[""fb14cabd-52d6-5ae8-8716-c706c5ca2353"",""c75ad278-dcc7-5344-adab-561ad7332a2e""]",0.0,0.0,0.0,811.6865039919503,estimated,5.2650000000000006e-05,949,13,962,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-54a24f6e54a73e24,What HTTP endpoint is shown for scrolling points in a collection?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""5555f152-9a93-5f65-8d49-d74c1ba2fb08"",""c75ad278-dcc7-5344-adab-561ad7332a2e"",""8c9b1887-ef96-5c34-b8bd-7e6d0b12e98c"",""7ff8bf2b-05ff-5b50-9404-6a8a27b38124"",""b74aea2b-2c48-5227-9472-d3b645d83e7e""]",0.0,0.0,0.0,3324.9588949838653,estimated,0.00016465000000000002,3189,13,3202,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-54a24f6e54a73e24,What HTTP endpoint is shown for scrolling points in a collection?,standard_fallback,STANDARD,dense_baseline,False,"[""fb14cabd-52d6-5ae8-8716-c706c5ca2353"",""c75ad278-dcc7-5344-adab-561ad7332a2e"",""f311edcf-015a-5178-b7ab-db7145c2ff50"",""5555f152-9a93-5f65-8d49-d74c1ba2fb08"",""685dfd31-2025-59a5-a5ed-4e77fe3ad7c0"",""b74aea2b-2c48-5227-9472-d3b645d83e7e"",""7ff8bf2b-05ff-5b50-9404-6a8a27b38124"",""e7255cb9-68bf-55f7-9a29-6a382ccde5a4"",""ee27ae87-f659-5bc6-bc1b-dc9ce76a95ed"",""0b1e0612-7c7b-59ae-9e4c-d6cd011ace31""]",0.0,0.0,0.0,1623.3730079839006,estimated,0.0001659,3214,13,3227,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-2312659ece1beeb0,Name two advantages of using UploadFile over bytes.,,FAST,dense_baseline,False,"[""13b7773d-2090-5219-8877-ba7558da57ac"",""6bdeef3c-0776-5f50-bfef-c3d1c305c610""]",1.0,1.0,1.0,691.8991400161758,estimated,5.335e-05,779,36,815,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-2312659ece1beeb0,Name two advantages of using UploadFile over bytes.,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""13b7773d-2090-5219-8877-ba7558da57ac"",""4b8a61d0-9727-5b59-8752-8394e1b5fa19"",""fed849b2-9c59-5da7-be70-e8e4df8c046f"",""6bdeef3c-0776-5f50-bfef-c3d1c305c610"",""122cea44-99a6-5c21-8b59-8958588d48dd""]",1.0,1.0,1.0,5296.468307031319,estimated,7.16e-05,1144,36,1180,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-2312659ece1beeb0,Name two advantages of using UploadFile over bytes.,top_score_below_careful_threshold,CAREFUL,hybrid_rrf_cross_encoder,False,"[""13b7773d-2090-5219-8877-ba7558da57ac"",""4b8a61d0-9727-5b59-8752-8394e1b5fa19"",""fed849b2-9c59-5da7-be70-e8e4df8c046f"",""6bdeef3c-0776-5f50-bfef-c3d1c305c610"",""122cea44-99a6-5c21-8b59-8958588d48dd""]",1.0,1.0,1.0,5988.367447047494,estimated,7.16e-05,1144,36,1180,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-8f550fc0f0c97fdf,What happens to a file once its in-memory size limit is exceeded when using UploadFile?,,FAST,dense_baseline,False,"[""13b7773d-2090-5219-8877-ba7558da57ac"",""694f4dbe-82fb-5c5b-879a-f0a021962ee2""]",1.0,1.0,1.0,186.85138801811263,estimated,2.24e-05,400,6,406,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-8f550fc0f0c97fdf,What happens to a file once its in-memory size limit is exceeded when using UploadFile?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""13b7773d-2090-5219-8877-ba7558da57ac"",""4ad555fc-b3cb-515c-af11-bdfe8aee7389"",""6bdeef3c-0776-5f50-bfef-c3d1c305c610"",""694f4dbe-82fb-5c5b-879a-f0a021962ee2"",""b1985c60-7321-5f01-8ae0-560bb8b9b88d""]",1.0,1.0,1.0,5071.101358043961,estimated,6.515000000000001e-05,1255,6,1261,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-8f550fc0f0c97fdf,What happens to a file once its in-memory size limit is exceeded when using UploadFile?,standard_fallback,STANDARD,dense_baseline,False,"[""13b7773d-2090-5219-8877-ba7558da57ac"",""694f4dbe-82fb-5c5b-879a-f0a021962ee2"",""6e7281c9-df57-58c6-9348-4975c8166b64"",""60e51f9d-987d-59f7-9030-6c3c1eca7fa3"",""64a5efd5-f239-52f7-8f45-3499bb80353b"",""c331df7d-496a-579f-8ab3-3341624a50b5"",""185355c1-193b-5f69-aa76-5b40b18708ed"",""6bdeef3c-0776-5f50-bfef-c3d1c305c610"",""3116313a-8dec-515e-aa1d-a35bd1565231"",""1374329c-061f-5b73-9972-f34d8a803983""]",1.0,1.0,1.0,373.70277603622526,estimated,8.245000000000001e-05,1601,6,1607,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-6de296cda91f5dc6,What kind of interface does UploadFile expose?,,FAST,dense_baseline,False,"[""122cea44-99a6-5c21-8b59-8958588d48dd"",""b1985c60-7321-5f01-8ae0-560bb8b9b88d""]",0.0,0.0,0.0,289.66234100516886,estimated,1.85e-05,314,7,321,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-6de296cda91f5dc6,What kind of interface does UploadFile expose?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""122cea44-99a6-5c21-8b59-8958588d48dd"",""13b7773d-2090-5219-8877-ba7558da57ac"",""6bdeef3c-0776-5f50-bfef-c3d1c305c610"",""b1985c60-7321-5f01-8ae0-560bb8b9b88d"",""f7b110c9-1027-52d4-b3bd-ed20f8b76190""]",1.0,0.5,0.6309297535714575,3678.107264044229,estimated,6.025e-05,1149,7,1156,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-6de296cda91f5dc6,What kind of interface does UploadFile expose?,standard_fallback,STANDARD,dense_baseline,False,"[""122cea44-99a6-5c21-8b59-8958588d48dd"",""b1985c60-7321-5f01-8ae0-560bb8b9b88d"",""f7b110c9-1027-52d4-b3bd-ed20f8b76190"",""6bdeef3c-0776-5f50-bfef-c3d1c305c610"",""13b7773d-2090-5219-8877-ba7558da57ac"",""c331df7d-496a-579f-8ab3-3341624a50b5"",""3116313a-8dec-515e-aa1d-a35bd1565231"",""7b419b4f-645d-5b87-a578-09054289e054"",""fed849b2-9c59-5da7-be70-e8e4df8c046f"",""cca8ddb1-43ef-55c7-baac-f22c6c0a9bc8""]",1.0,0.2,0.38685280723454163,579.3246820103377,estimated,8.635000000000001e-05,1671,7,1678,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-220fbcfa80439038,What Python object does UploadFile expose that can be passed to libraries expecting a file-like object?,,FAST,dense_baseline,False,"[""6bdeef3c-0776-5f50-bfef-c3d1c305c610"",""13b7773d-2090-5219-8877-ba7558da57ac""]",1.0,0.5,0.6309297535714575,102.26353898178786,estimated,4.16e-05,792,5,797,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-220fbcfa80439038,What Python object does UploadFile expose that can be passed to libraries expecting a file-like object?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""13b7773d-2090-5219-8877-ba7558da57ac"",""6bdeef3c-0776-5f50-bfef-c3d1c305c610"",""f7b110c9-1027-52d4-b3bd-ed20f8b76190"",""b1985c60-7321-5f01-8ae0-560bb8b9b88d"",""122cea44-99a6-5c21-8b59-8958588d48dd""]",1.0,1.0,1.0,5054.87092002295,estimated,6.0150000000000005e-05,1163,5,1168,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-220fbcfa80439038,What Python object does UploadFile expose that can be passed to libraries expecting a file-like object?,standard_fallback,STANDARD,dense_baseline,False,"[""6bdeef3c-0776-5f50-bfef-c3d1c305c610"",""13b7773d-2090-5219-8877-ba7558da57ac"",""f7b110c9-1027-52d4-b3bd-ed20f8b76190"",""b1985c60-7321-5f01-8ae0-560bb8b9b88d"",""35f02885-8e6d-52ac-ae02-b80360ca5c1c"",""21ba402e-cc64-55db-842d-f1cdfc288266"",""3116313a-8dec-515e-aa1d-a35bd1565231"",""122cea44-99a6-5c21-8b59-8958588d48dd"",""4329bc47-0e06-5e42-a19e-4176d790fcae"",""4b8a61d0-9727-5b59-8752-8394e1b5fa19""]",1.0,0.5,0.6309297535714575,204.52707796357572,estimated,0.000101,1980,5,1985,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-7f4b9c901bcac8d2,What file format does MLflow use for saving models from a variety of tools?,,FAST,dense_baseline,False,"[""bfd25439-477b-51c7-a2a0-cc786bf90af2"",""340a7a12-017b-5c84-9e42-26cdfb3c730b""]",0.0,0.0,0.0,110.96269602421671,estimated,2.8250000000000002e-05,533,4,537,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-7f4b9c901bcac8d2,What file format does MLflow use for saving models from a variety of tools?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""c62d01b9-14fc-5f93-aa8e-540cd36c9b37"",""bfd25439-477b-51c7-a2a0-cc786bf90af2"",""e8fbb621-b6b5-514d-afa7-86dad192161d"",""05701a59-154f-5880-8ad6-03c5b868a610"",""340a7a12-017b-5c84-9e42-26cdfb3c730b""]",1.0,1.0,1.0,5579.162125010043,estimated,8.235e-05,1615,4,1619,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-7f4b9c901bcac8d2,What file format does MLflow use for saving models from a variety of tools?,standard_fallback,STANDARD,dense_baseline,False,"[""bfd25439-477b-51c7-a2a0-cc786bf90af2"",""340a7a12-017b-5c84-9e42-26cdfb3c730b"",""c582f4da-9e4e-5225-8bba-2093d7a92012"",""6cd7d628-b9df-5ae4-9a13-4750b6722af7"",""1c11fb41-d8e9-54c4-a6a8-7ee81559ae91"",""8793a7a9-7a3c-5156-96bc-0865d968fe11"",""6d5e0afd-78b5-5242-bb94-c944cb587d09"",""1617d361-2e2a-5103-a892-4798656621ca"",""c62d01b9-14fc-5f93-aa8e-540cd36c9b37"",""8c1e4db1-8427-5d14-ba4a-0b472044d54c""]",0.0,0.1111111111111111,0.0,221.92539204843342,estimated,9.84e-05,1936,4,1940,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-806e7d79beff73b8,Which MLflow flavor can log scikit-learn models as artifacts for serving?,,FAST,dense_baseline,False,"[""c62d01b9-14fc-5f93-aa8e-540cd36c9b37"",""8166cf8d-fb26-5b10-adf7-87a2e0e7425b""]",1.0,1.0,1.0,136.19701901916414,estimated,2.9950000000000003e-05,551,6,557,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-806e7d79beff73b8,Which MLflow flavor can log scikit-learn models as artifacts for serving?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""c62d01b9-14fc-5f93-aa8e-540cd36c9b37"",""b99ec21b-03fa-5b59-b38f-a660312b281b"",""0059cb42-7790-5a9a-a5e5-bc3f0d2acbf6"",""d9abccc5-476d-55da-8563-74e8bd06d59a"",""8793a7a9-7a3c-5156-96bc-0865d968fe11""]",1.0,1.0,1.0,4427.259930991568,estimated,7.750000000000001e-05,1502,6,1508,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-806e7d79beff73b8,Which MLflow flavor can log scikit-learn models as artifacts for serving?,fast_conditions_satisfied,FAST,dense_baseline,False,"[""c62d01b9-14fc-5f93-aa8e-540cd36c9b37"",""8166cf8d-fb26-5b10-adf7-87a2e0e7425b""]",1.0,1.0,1.0,136.19701901916414,estimated,2.9950000000000003e-05,551,6,557,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-43e609692540e39f,What is the exact MLflow command to serve a model located at runs:/<RUN_ID>/model?,,FAST,dense_baseline,False,"[""f1ed4936-e9ee-5997-8b19-7bf8b8311aca"",""9897a50e-a1a2-541d-9908-de62157f571c""]",0.0,0.0,0.0,159.39932700712234,estimated,1.45e-05,162,16,178,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-43e609692540e39f,What is the exact MLflow command to serve a model located at runs:/<RUN_ID>/model?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""218b080d-67c5-5a10-b251-e9367028cdc9"",""3e359e76-43f1-5f9d-bf88-29f5d9079fba"",""4816bc2e-ac37-5cc4-ad2b-897b09bdd7fa"",""c62d01b9-14fc-5f93-aa8e-540cd36c9b37"",""758e32db-c55b-5f14-bef6-a205b10c9b64""]",1.0,0.25,0.43067655807339306,6243.334668048192,estimated,7.97e-05,1466,16,1482,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-43e609692540e39f,What is the exact MLflow command to serve a model located at runs:/<RUN_ID>/model?,score_gap_below_careful_threshold,CAREFUL,hybrid_rrf_cross_encoder,False,"[""218b080d-67c5-5a10-b251-e9367028cdc9"",""3e359e76-43f1-5f9d-bf88-29f5d9079fba"",""4816bc2e-ac37-5cc4-ad2b-897b09bdd7fa"",""c62d01b9-14fc-5f93-aa8e-540cd36c9b37"",""758e32db-c55b-5f14-bef6-a205b10c9b64""]",1.0,0.25,0.43067655807339306,6402.733995055314,estimated,7.97e-05,1466,16,1482,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-fe6afefa50c92384,What does an MLmodel file declare about each model to enable serving it as a Python function?,,FAST,dense_baseline,False,"[""ce08fa6e-2a0d-5941-a768-721f1d318900"",""05701a59-154f-5880-8ad6-03c5b868a610""]",0.0,0.0,0.0,162.22102200845256,estimated,3.345e-05,549,15,564,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-fe6afefa50c92384,What does an MLmodel file declare about each model to enable serving it as a Python function?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""c62d01b9-14fc-5f93-aa8e-540cd36c9b37"",""ce08fa6e-2a0d-5941-a768-721f1d318900"",""05701a59-154f-5880-8ad6-03c5b868a610"",""ecf09611-c5f3-557e-8e79-fea8f479b1f6"",""dbe09aa4-6925-52d2-a65f-abac53855a8a""]",1.0,1.0,1.0,7951.059313956648,estimated,7.435e-05,1367,15,1382,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-fe6afefa50c92384,What does an MLmodel file declare about each model to enable serving it as a Python function?,standard_fallback,STANDARD,dense_baseline,False,"[""ce08fa6e-2a0d-5941-a768-721f1d318900"",""05701a59-154f-5880-8ad6-03c5b868a610"",""8ff9af87-39b6-53d6-88e1-f4662041fb92"",""ecf09611-c5f3-557e-8e79-fea8f479b1f6"",""f315f40c-0681-5c16-85e5-be7bccbc587b"",""12609df4-0eb5-5aa2-bab6-738c76027aca"",""670821d3-845a-54ee-9581-9d3395d96255"",""9b8cce66-ff93-53cf-8de8-1d18f9c90e7f"",""d5ef410f-88f0-55aa-90f9-1cc5e7d5b414"",""3d43d5c9-a8b1-5423-8d15-81085af21efd""]",0.0,0.0,0.0,324.44204401690513,estimated,0.00010475,1975,15,1990,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-ebcd24ac3da514b9,What HTTP method and path are used to observe the cluster state after synchronization?,,FAST,dense_baseline,False,"[""e26f0a8a-b633-5e94-8c32-e9fd949cfd77"",""bef2b7a6-d93c-557c-8e6d-1201d490d06a""]",0.0,0.0,0.0,116.76629801513627,estimated,2.85e-05,546,3,549,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-ebcd24ac3da514b9,What HTTP method and path are used to observe the cluster state after synchronization?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""6dc03388-cb65-5ba4-bc45-947108709ffc"",""b8c22f35-8b2f-5ca5-b8d6-7de53306d380"",""efb4fbec-351e-52c2-a1cd-d2ac5a4ae693"",""bef2b7a6-d93c-557c-8e6d-1201d490d06a"",""0a460019-81a0-54e5-89ff-a771a8284926""]",1.0,1.0,1.0,4380.056669993792,estimated,0.00012130000000000001,2402,3,2405,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-ebcd24ac3da514b9,What HTTP method and path are used to observe the cluster state after synchronization?,top_score_below_no_answer_threshold,NO_ANSWER,,True,[],0.0,0.0,0.0,116.76629801513627,zero_cost,0.0,0,0,0,not_applicable,not_applicable,
always_fast,sqa-100e77a31882d05f,What does the API return in the response when a browser creates a user with a password using the same input/output model in this example?,,FAST,dense_baseline,False,"[""bc300f0a-cb5d-5071-9712-49e0c956737a"",""c062c6b6-3c27-5f83-b5e0-444927a6d261""]",0.0,0.0,0.0,178.13954001758248,estimated,3.475e-05,623,9,632,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-100e77a31882d05f,What does the API return in the response when a browser creates a user with a password using the same input/output model in this example?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""60e1a507-5db2-5497-b074-bfa41ae03129"",""c062c6b6-3c27-5f83-b5e0-444927a6d261"",""648600e6-79c5-5e94-8079-c8d2c57c0cd9"",""c20af783-e8a4-572f-a88c-16f59674cd23"",""560c96db-fdf3-584d-9c59-6d982afdd66e""]",1.0,1.0,1.0,3986.414917977527,estimated,6.654999999999999e-05,1259,9,1268,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-100e77a31882d05f,What does the API return in the response when a browser creates a user with a password using the same input/output model in this example?,top_score_below_careful_threshold,CAREFUL,hybrid_rrf_cross_encoder,False,"[""60e1a507-5db2-5497-b074-bfa41ae03129"",""c062c6b6-3c27-5f83-b5e0-444927a6d261"",""648600e6-79c5-5e94-8079-c8d2c57c0cd9"",""c20af783-e8a4-572f-a88c-16f59674cd23"",""560c96db-fdf3-584d-9c59-6d982afdd66e""]",1.0,1.0,1.0,4164.554457995109,estimated,6.654999999999999e-05,1259,9,1268,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_fast,sqa-50e37593177ea153,What warning is given about handling a plain password in this section?,,FAST,dense_baseline,False,"[""1f2b0f81-b977-5ffc-beab-61140d98623d"",""1a436be5-24d1-594a-812e-bde13f7fdee0""]",0.0,0.0,0.0,44.4153169519268,estimated,2.005e-05,265,17,282,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
always_careful,sqa-50e37593177ea153,What warning is given about handling a plain password in this section?,,CAREFUL,hybrid_rrf_cross_encoder,False,"[""60e1a507-5db2-5497-b074-bfa41ae03129"",""90a5c7da-34e6-5f22-af60-535d6fed6ccd"",""1f2b0f81-b977-5ffc-beab-61140d98623d"",""bc300f0a-cb5d-5071-9712-49e0c956737a"",""c20af783-e8a4-572f-a88c-16f59674cd23""]",1.0,1.0,1.0,3382.767585979309,estimated,6.410000000000001e-05,1146,17,1163,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
routed,sqa-50e37593177ea153,What warning is given about handling a plain password in this section?,top_score_below_no_answer_threshold,NO_ANSWER,,True,[],0.0,0.0,0.0,44.4153169519268,zero_cost,0.0,0,0,0,not_applicable,not_applicable,
always_fast,sqa-dc321a1b57e8d142,Which library should be installed to use EmailStr according to the document?,,FAST,dense_baseline,False,"[""81f01c9c-d0f1-5e7f-81cc-7ab4c9c203b7"",""4423dca6-66fc-5c79-a516-8a809211c65b""]",0.0,0.0,0.0,48.356071987655014,estimated,8.700000000000001e-06,142,4,146,heuristic_estimate,model_cost_table,generation_model_costs@1.0.0
