question_id,question,query_type,split,category,top_score,score_gap,route,reason_code,refused,correct
sqa-673de786b69493ab,What initial methods can be used to retrieve a subset of documents before applying a reranker?,supported,supported_evidence,supported,0.65982956,0.0061099000000000014,CAREFUL,score_gap_below_careful_threshold,False,True
sqa-7d97ec3c52aa5853,What primary trade-off do rerankers make when evaluating document relevance?,supported,supported_evidence,supported,0.7351372,0.04397530000000005,CAREFUL,complexity_marker_count_at_least_careful_threshold,False,True
sqa-580f65fefad3cf3a,What is the primary function of a reranker in document search?,supported,supported_evidence,supported,0.7874368,0.07994177000000002,FAST,fast_conditions_satisfied,False,True
sqa-bd0d27f9ade799b8,Which methods can be used to serve static frontend applications in FastAPI?,supported,supported_evidence,supported,0.6438581,0.008377599999999985,CAREFUL,score_gap_below_careful_threshold,False,True
sqa-4cb482f1f218af58,In what order does FastAPI evaluate incoming requests when serving static frontend files alongside API routes?,supported,supported_evidence,supported,0.64728475,0.025833949999999994,CAREFUL,complexity_marker_count_at_least_careful_threshold,False,True
sqa-0962a7db4ec6c78a,In which section of the MLflow Run details page can a user find and select the model folder to register?,supported,supported_evidence,supported,0.7408745,0.008878399999999953,CAREFUL,score_gap_below_careful_threshold,False,True
sqa-a8ee8614cd6dc87b,What options are available in the Model dropdown menu on the model registration form?,supported,supported_evidence,supported,0.5263455,0.058203700000000025,NO_ANSWER,top_score_below_no_answer_threshold,True,False
sqa-7622236114712036,"What occurs when a user chooses the ""Create New Model"" option in the Model dropdown menu?",supported,supported_evidence,supported,0.54095685,0.0025141499999999928,CAREFUL,top_score_below_careful_threshold,False,True
sqa-6055940f3e30c975,Which parameter in a Qdrant query allows retrieving a vector using a point ID located in a different collection?,supported,supported_evidence,supported,0.7531009,0.056703599999999965,STANDARD,standard_fallback,False,True
sqa-d20c9187fa7725e6,What two primary properties are required inside the lookup_from configuration when referencing a point in another collection?,supported,supported_evidence,supported,0.51448697,0.027845269999999978,NO_ANSWER,top_score_below_no_answer_threshold,True,False
sqa-8397e93659723d06,How can extra cookies be forbidden in a FastAPI cookie parameter model?,supported,supported_evidence,supported,0.734375,0.026642900000000025,STANDARD,standard_fallback,False,True
sqa-a6c95a648b8cccd8,What is the main difference between the legacy permission model and the role-based permission model in MLflow?,supported,supported_evidence,supported,0.64857435,0.007071049999999968,CAREFUL,score_gap_below_careful_threshold,False,True
sqa-bd90972847373159,What trade-off occurs when opting for a lower number of vector chunks?,supported,supported_evidence,supported,0.6814282,0.08352710000000008,CAREFUL,complexity_marker_count_at_least_careful_threshold,False,True
sqa-9663384ed9b2a6ce,How does OpenAPI represent an output response field that is always present even if its value is null?,supported,supported_evidence,supported,0.684148,0.08464959999999999,STANDARD,standard_fallback,False,True
